Genus,LM,TD,TI,TP,LL,WD,WI,LI
Megatylopus,77.26,32.44,40.75,,83.96,59.24,54.64,65.05
Megatylopus,85.76,37.21,47.14,38.82,91.15,64.42,65.47,70.78
Megatylopus,82.16,35.38,43.43,37.61,87.47,61.79,64.55,68.55
Alforjas,58.71,27.66,32.87,27.6,65.12,41.29,40.4,48.15
Alforjas,59.81,29.73,34.82,29.58,65.03,44.82,47.39,50.2
Alforjas,58.31,25.92,32.43,26.28,64.72,40.56,41.03,49.33
Alforjas,55.34,24.48,31.04,27.43,62.81,42.28,43.62,47.68
Alforjas,53.82,26.5,30.03,24.38,59.43,44.41,44.51,46.19
Alforjas,55.06,26.19,31.32,28.03,61.04,41.07,43.21,48.07
Alforjas,56.72,27.03,34.31,26.31,62.8,43.64,45.94,49.29
Alforjas,60.25,29.92,34.27,28.2,65.17,43.15,43.6,50.84
Alforjas,58.87,27.93,32.98,29.08,63.81,43.06,45.51,48.98
Alforjas,60.26,27.67,34.33,30.23,67.44,44.38,45.56,51.98
Alforjas,57.1,29.02,31.85,29.67,62.72,41.78,42.37,47.85
Alforjas,60.61,31.01,33.43,30.92,64.98,45.48,46.99,51.67
Alforjas,61.59,29.91,35.38,31.35,65.89,43.87,46.95,50.88
Alforjas,60.68,31.99,38.06,29.41,66.58,46.74,45.34,50.64
Alforjas,58.96,29.12,35.32,30.83,63.92,41.94,43.05,50.19
Alforjas,57.96,27.05,33.02,27.64,63.78,41.63,43.73,48.68
Alforjas,56.54,25.92,31.98,27.86,62.25,45.3,47.47,48.97
Alforjas,56.95,25.33,31.96,27.96,63.47,37.53,41.58,48.74
Alforjas,56.83,30.8,34.67,29.22,64.52,40.56,44.26,47.96
Alforjas,55.77,27.37,30.03,25.97,60.64,39.25,41.57,44.6
Alforjas,,27.86,35.39,31.31,70.43,,48.99,54.75
Alforjas,59.23,27.87,32.79,,63.82,41.43,43.91,50.35
Alforjas,59.49,23.8,34.27,26.48,,44.58,47.89,50.76
Alforjas,64.46,26.88,33.33,28.29,,47.24,47.22,52.68
Alforjas,65.13,,35.81,28.66,,44.43,46.28,52.25
Alforjas,54.36,26.63,31.62,27.72,59.15,38.53,42.38,46.87
Alforjas,59.29,24.92,32.06,28.81,65.85,44.06,46.64,51.05
Alforjas,59.73,27.99,35.18,31.48,65.81,46.48,44.84,51.8
Alforjas,61.37,27.02,34.11,27.22,65.7,43.78,43.43,51.39
Procamelus,71.49,30.37,37.46,31.73,75,51.17,52.26,56.19
Procamelus,65.23,31.81,37.77,35.36,76.02,48.05,51.06,56.11
Procamelus,63.63,24.81,34.26,31.46,69.93,42.41,42.96,52.63
Procamelus,65.57,28.62,33.57,33.35,70.96,46.91,49.08,55.42
Procamelus,66.54,29.96,36.56,32.95,73.68,45.66,46.85,55.45
Procamelus,,27.14,33.48,,,44.27,47.01,
Procamelus,67.62,27.91,36.02,34.12,74.71,48.36,52.76,56.28
